"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","539","Create user","LMS service","Wed Jan 07 19:27:49 UTC 2026","passed","Wed Jan 07 19:27:49 UTC 2026","Create entity","Users","",""
"","289","Create user","LMS service","Wed Jan 07 19:27:49 UTC 2026","passed","Wed Jan 07 19:27:49 UTC 2026","Create entity","Users","",""
"","269","Create file with empty directory","LMS service","Wed Jan 07 19:27:48 UTC 2026","passed","Wed Jan 07 19:27:49 UTC 2026","Validate entity","Files","",""
"","34","Create course","LMS service","Wed Jan 07 19:27:43 UTC 2026","passed","Wed Jan 07 19:27:43 UTC 2026","Create entity","Courses","",""
"","30","Delete exercise","LMS service","Wed Jan 07 19:27:45 UTC 2026","passed","Wed Jan 07 19:27:45 UTC 2026","Delete entity","Exercises","",""
"","528","Create user","LMS service","Wed Jan 07 19:27:49 UTC 2026","passed","Wed Jan 07 19:27:49 UTC 2026","Create entity","Users","",""
"","260","Create file","LMS service","Wed Jan 07 19:27:46 UTC 2026","passed","Wed Jan 07 19:27:46 UTC 2026","Create entity","Files","",""
"","285","Login with correct email and password","LMS service","Wed Jan 07 19:27:40 UTC 2026","passed","Wed Jan 07 19:27:41 UTC 2026","Login","Authentication","",""
"","24","Create exercise","LMS service","Wed Jan 07 19:27:43 UTC 2026","passed","Wed Jan 07 19:27:43 UTC 2026","Create entity","Exercises","",""
"","17","Get file","LMS service","Wed Jan 07 19:27:46 UTC 2026","passed","Wed Jan 07 19:27:46 UTC 2026","Get entity","Files","",""
"","36","Get courses","LMS service","Wed Jan 07 19:27:41 UTC 2026","passed","Wed Jan 07 19:27:41 UTC 2026","Get entities","Courses","",""
"","15","Get user me","LMS service","Wed Jan 07 19:27:50 UTC 2026","passed","Wed Jan 07 19:27:50 UTC 2026","Get entity","Users","",""
"","20","Get exercise","LMS service","Wed Jan 07 19:27:44 UTC 2026","passed","Wed Jan 07 19:27:44 UTC 2026","Get entity","Exercises","",""
"","15","Get file with incorrect file id","LMS service","Wed Jan 07 19:27:49 UTC 2026","passed","Wed Jan 07 19:27:49 UTC 2026","Validate entity","Files","",""
"","300","Update course","LMS service","Wed Jan 07 19:27:41 UTC 2026","passed","Wed Jan 07 19:27:41 UTC 2026","Update entity","Courses","",""
"","17","Get exercises","LMS service","Wed Jan 07 19:27:45 UTC 2026","passed","Wed Jan 07 19:27:45 UTC 2026","Get entities","Exercises","",""
"","21","Delete file","LMS service","Wed Jan 07 19:27:47 UTC 2026","passed","Wed Jan 07 19:27:47 UTC 2026","Delete entity","Files","",""
"","17","Create file with empty filename","LMS service","Wed Jan 07 19:27:47 UTC 2026","passed","Wed Jan 07 19:27:47 UTC 2026","Validate entity","Files","",""
"","25","Update exercise","LMS service","Wed Jan 07 19:27:44 UTC 2026","passed","Wed Jan 07 19:27:44 UTC 2026","Update entity","Exercises","",""
